Survey_ID,Transect,Deeltraject,Tijd,Soort,Aantal,
30,2,8,11:48,Grote keizerlibel,1,
30,2,9,11:51,Lantaarntje,4,
30,2,10,11:53,,,
32,1,1,11:45,Azuurwaterjuffer,7,
32,1,1,11:45,Gewone pantserjuffer,1,
32,1,1,11:45,Lantaarntje,4,
32,1,1,11:45,Gewone oeverlibel,1,
32,1,1,11:45,Bloedrode heidelibel,1,
32,1,2,11:51,Gewone oeverlibel,5,
32,1,2,11:51,Bloedrode heidelibel,1,
32,1,2,11:51,Vuurlibel,1,
32,1,3,11:58,Azuurwaterjuffer,27,
32,1,3,11:58,Gewone pantserjuffer,3,
32,1,3,11:58,Lantaarntje,9,
32,1,3,11:58,Weidebeekjuffer,2,
32,1,3,11:58,Gewone oeverlibel,1,
32,1,3,11:58,Viervleklibel,2,
32,1,3,11:58,Grote keizerlibel,4,
32,1,3,11:58,Zuidelijke keizerlibel,1,
32,1,3,11:58,Bloedrode heidelibel,8,
32,1,3,11:58,Vuurlibel,2,
32,1,4,12:09,Gewone oeverlibel,2,
32,1,4,12:09,Grote keizerlibel,1,
32,1,4,12:09,Bloedrode heidelibel,6,
32,1,5,12:26,Azuurwaterjuffer,5,
32,1,5,12:26,Lantaarntje,2,
32,1,5,12:26,Bloedrode heidelibel,3,
32,1,6,12:29,Vuurlibel,1,
32,1,7,12:32,Lantaarntje,3,
32,1,7,12:32,Gewone oeverlibel,1,
32,1,8,12:35,Grote keizerlibel,1,
32,1,8,12:35,Bloedrode heidelibel,2,
32,1,9,12:39,Azuurwaterjuffer,2,
32,1,9,12:39,Bruine winterjuffer,1,
32,1,9,12:39,Breedscheenjuffer,1,
32,1,9,12:39,Gewone pantserjuffer,1,
32,1,9,12:39,Grote roodoogjuffer,1,
32,1,9,12:39,Lantaarntje,3,
32,1,9,12:39,Bloedrode heidelibel,4,
32,1,9,12:39,Vuurlibel,6,
32,1,9,12:39,Bruinrode heidelibel,1,
32,1,10,12:47,Gewone oeverlibel,1,
32,1,10,12:47,Grote keizerlibel,1,
32,1,10,12:47,Bloedrode heidelibel,7,
32,1,10,12:47,Vuurlibel,8,
32,2,1,13:06,Lantaarntje,4,
32,2,1,13:06,Gewone oeverlibel,3,
32,2,1,13:06,Grote keizerlibel,1,
32,2,1,13:06,Zuidelijke keizerlibel,1,
32,2,1,13:06,Bloedrode heidelibel,1,
32,2,2,13:10,Gewone oeverlibel,10,
32,2,3,13:13,Lantaarntje,7,
32,2,3,13:13,Gewone oeverlibel,2,
32,2,3,13:13,Bloedrode heidelibel,1,
32,2,3,13:13,Bruinrode heidelibel,2,
32,2,4,13:18,Gewone oeverlibel,3,
32,2,4,13:18,Bruinrode heidelibel,1,
32,2,5,13:21,Breedscheenjuffer,1,
32,2,5,13:21,Lantaarntje,7,
32,2,5,13:21,Gewone oeverlibel,4,
32,2,5,13:21,Bloedrode heidelibel,1,
32,2,5,13:21,Vuurlibel,2,
32,2,6,13:24,Gewone oeverlibel,3,
32,2,6,13:24,Bloedrode heidelibel,3,
32,2,6,13:24,Bruinrode heidelibel,1,
32,2,7,13:28,Lantaarntje,1,
32,2,7,13:28,Bloedrode heidelibel,2,
32,2,8+9,13:31,Gewone oeverlibel,1,
32,2,8+9,13:31,Bloedrode heidelibel,8,
32,2,8+9,13:31,Bruinrode heidelibel,1,
32,2,10,13:54,Grote roodoogjuffer,1,
32,2,10,13:54,Lantaarntje,2,
32,2,10,13:54,Gewone oeverlibel,4,
32,2,10,13:54,Bloedrode heidelibel,5,
32,2,10,13:54,Bruine glazenmaker,1,
33,1,1,11:17,Lantaarntje,48,
33,1,1,11:17,Azuurwaterjuffer,13,
33,1,1,11:17,Variabele waterjuffer,3,
33,1,1,11:17,Glassnijder,1,
33,1,1,11:17,Grote roodoogjuffer,6,
33,1,2,11:21,Viervleklibel,6,
33,1,2,11:21,Gewone oeverlibel,1,
33,1,3,11:26,Gewone oeverlibel,8,
33,1,3,11:26,Lantaarntje,15,
33,1,3,11:26,Variabele waterjuffer,1,
33,1,3,11:26,Vuurjuffer,1,
33,1,3,11:26,Azuurwaterjuffer,4,
33,1,3,11:26,Bruine winterjuffer,1,
33,1,3,11:26,Bruine korenbout,4,
33,1,3,11:26,Vuurlibel,1,
33,1,3,11:26,Grote roodoogjuffer,5,
33,1,4,11:32,Viervleklibel,6,
33,1,4,11:32,Smaragdlibel,1,
33,1,4,11:32,Grote keizerlibel,1,
33,1,4,11:32,Glassnijder,1,
33,1,4,11:32,Bruine korenbout,1,
33,1,5,11:51,Bruine korenbout,3,
33,1,5,11:51,Lantaarntje,10,
33,1,5,11:51,Azuurwaterjuffer,8,
33,1,5,11:51,Variabele waterjuffer,8,
33,1,5,11:51,Gewone oeverlibel,1,
33,1,6,11:56,Bruine korenbout,1,
33,1,7,11:58,Azuurwaterjuffer,1,
33,1,7,11:58,Lantaarntje,5,
33,1,7,11:58,Gewone oeverlibel,4,
33,1,7,11:58,Bruine korenbout,1,
33,1,7,11:58,Vuurlibel,1,
33,1,8,12:01,Viervleklibel,2,
33,1,8,12:01,Bruine korenbout,3,
33,1,8,12:01,Gewone oeverlibel,1,
33,1,9,12:04,Viervleklibel,4,
33,1,9,12:04,Vuurlibel,1,
33,1,9,12:04,Smaragdlibel,1,
33,1,9,12:04,Lantaarntje,21,
33,1,9,12:04,Variabele waterjuffer,8,
33,1,9,12:04,Azuurwaterjuffer,1,
33,1,9,12:04,Bruine korenbout,3,
33,1,9,12:04,Glassnijder,1,
33,1,10,12:12,Vuurlibel,4,
33,1,10,12:12,Bruine korenbout,4,
33,1,10,12:12,Bloedrode heidelibel,1,
33,1,10,12:12,Bruinrode heidelibel,1,
33,2,1,12:45,Lantaarntje,7,
33,2,1,12:45,Gewone oeverlibel,1,
33,2,2,12:49,Gewone oeverlibel,4,
33,2,2,12:49,Vroege glazenmaker,1,
33,2,3,12:54,Gewone oeverlibel,3,
33,2,3,12:54,Lantaarntje,31,
33,2,3,12:54,Azuurwaterjuffer,4,
33,2,3,12:54,Variabele waterjuffer,1,
33,2,4,13:15,Gewone oeverlibel,4,
33,2,5,13:20,lantaarntje,102,
33,2,5,13:20,Variabele waterjuffer,1,
33,2,5,13:20,Azuurwaterjuffer,2,
33,2,6,13:28,Gewone oeverlibel,1,
33,2,7,13:30,Vroege glazenmaker,1,
33,2,7,13:30,lantaarntje,93,
33,2,7,13:30,Gewone oeverlibel,1,
33,2,7,13:30,Azuurwaterjuffer,1,
33,2,7,13:30,Variabele waterjuffer,4,
33,2,7,13:30,Blauwe breedscheenjuffer,1,
33,2,8,13:30,Vuurlibel,1,
33,2,8,13:39,Gewone oeverlibel,1,
33,2,8,13:39,Platbuik,1,
33,2,8,13:39,Grote keizerlibel,1,
33,2,9,13:39,lantaarntje,13,
33,2,9,13:42,Variabele waterjuffer,2,
33,2,9,13:42,Azuurwaterjuffer,3,
33,2,9,13:42,Vroege glazenmaker,3,
33,2,9,13:42,Glassnijder,1,
33,2,9,13:42,Gewone oeverlibel,1,
33,2,9,13:42,Bruine korenbout,1,
33,2,9,13:42,Grote roodoogjuffer,7,
33,2,9,13:42,Viervleklibel,3,
33,2,9,13:42,Grote keizerlibel,1,
33,2,10,13:48,Platbuik,1,
33,2,10,13:48,Vroege glazenmaker,1,
