Locatie,Datum,Stops in meters,Locatie + Stops,Rondes,X,Y,Soorten,Aantal,Paringswiel,Ei-afzettend,Temperatuur,Bewolking,Neerslag,Bft
Rijnstrangengemaal,6/15/21,150,Rijnstrangengemaal 150,Ronde_2,51.91467,6.00052,Lantaarntje,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,150,Rijnstrangengemaal 150,Ronde_2,51.91467,6.00052,Variabele waterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,150,Rijnstrangengemaal 150,Ronde_2,51.91467,6.00052,Maanwater juffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,150,Rijnstrangengemaal 150,Ronde_2,51.91467,6.00052,Speerwaterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,150,Rijnstrangengemaal 150,Ronde_2,51.91467,6.00052,Donkere waterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,200,Rijnstrangengemaal 200,Ronde_2,51.915024,6.006477,Azuurwaterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,200,Rijnstrangengemaal 200,Ronde_2,51.915024,6.006477,Blauwe breedscheenjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,200,Rijnstrangengemaal 200,Ronde_2,51.915024,6.006477,Watersnuffel,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,200,Rijnstrangengemaal 200,Ronde_2,51.915024,6.006477,Kleine Roodoofjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,200,Rijnstrangengemaal 200,Ronde_2,51.915024,6.006477,Grote Roodoogjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,200,Rijnstrangengemaal 200,Ronde_2,51.915024,6.006477,Lantaarntje,1,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,200,Rijnstrangengemaal 200,Ronde_2,51.915024,6.006477,Variabele waterjuffer,2,2,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,200,Rijnstrangengemaal 200,Ronde_2,51.915024,6.006477,Maanwater juffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,200,Rijnstrangengemaal 200,Ronde_2,51.915024,6.006477,Speerwaterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,200,Rijnstrangengemaal 200,Ronde_2,51.915024,6.006477,Donkere waterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,250,Rijnstrangengemaal 250,Ronde_2,51.91518,6.00685,Azuurwaterjuffer,,,,19,1/4,geen,ONO2
